"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","A","B","mk_pvalue","S","Class"
"88",26096,29828,25917,28859,33570,32327,30396,912.535714285715,25920.2857142857,0.22955621387892,9,"None"
"89",29828,25917,28859,33570,32327,30396,26501,87.3214285714311,29279,1,1,"None"
"90",25917,28859,33570,32327,30396,26501,23703,-518.999999999996,30829.2857142857,0.548005572361309,-5,"None"
"91",28859,33570,32327,30396,26501,23703,24577,-1371.64285714285,34048.4285714286,0.0715054164448745,-13,"None"
"92",33570,32327,30396,26501,23703,24577,26438,-1556.75,34443,0.0354981313206625,-15,"Negative"
"93",32327,30396,26501,23703,24577,26438,29220,-684.321428571427,30331.8571428571,0.367520738242143,-7,"None"
"94",30396,26501,23703,24577,26438,29220,34926,777.25,24856.8571428571,0.548005572361309,5,"None"
"95",26501,23703,24577,26438,29220,34926,27350,1058.42857142857,23297,0.13312848419606,11,"None"
"96",23703,24577,26438,29220,34926,27350,24297,564.857142857143,24956.4285714286,0.367520738242143,7,"None"
"97",24577,26438,29220,34926,27350,24297,24085,-272.42857142857,28360.1428571429,0.548005572361309,-5,"None"
"98",26438,29220,34926,27350,24297,24085,24531,-950.714285714284,31066.7142857143,0.22955621387892,-9,"None"
"99",29220,34926,27350,24297,24085,24531,24559,-1358.5,32429.4285714286,0.22955621387892,-9,"None"
"100",34926,27350,24297,24085,24531,24559,27412,-996.071428571427,30721.4285714286,1,-1,"None"
"101",27350,24297,24085,24531,24559,27412,26839,184.678571428573,24843.1428571429,0.367520738242143,7,"None"
"102",24297,24085,24531,24559,27412,26839,25136,389.500000000001,23707.5714285714,0.0715054164448745,13,"None"
"103",24085,24531,24559,27412,26839,25136,18867,-434.42857142857,26227.5714285714,0.76389059347054,3,"None"
"104",24531,24559,27412,26839,25136,18867,19271,-1051.42857142857,28007.8571428571,0.548005572361309,-5,"None"
"105",24559,27412,26839,25136,18867,19271,22948,-1038.82142857143,27731.2857142857,0.22955621387892,-9,"None"
"106",27412,26839,25136,18867,19271,22948,20408,-1237.82142857143,27934.2857142857,0.13312848419606,-11,"None"
"107",26839,25136,18867,19271,22948,20408,26818,-194.214285714286,23675,1,-1,"None"
"108",25136,18867,19271,22948,20408,26818,24747,566.857142857144,20331.8571428571,0.367520738242143,7,"None"
"109",18867,19271,22948,20408,26818,24747,24159,1096.35714285714,18074.2857142857,0.0715054164448745,13,"None"
"110",19271,22948,20408,26818,24747,24159,18363,144.178571428572,21811,1,1,"None"
"111",22948,20408,26818,24747,24159,18363,22390,-300.821428571428,24036.5714285714,0.548005572361309,-5,"None"
"112",20408,26818,24747,24159,18363,22390,21007,-480.107142857141,24476.4285714286,0.367520738242143,-7,"None"
"113",26818,24747,24159,18363,22390,21007,22697,-771.85714285714,25970.4285714286,0.13312848419606,-11,"None"
"114",24747,24159,18363,22390,21007,22697,25766,99.178571428573,22336,1,1,"None"
"115",24159,18363,22390,21007,22697,25766,23656,485.857142857144,20633.4285714286,0.367520738242143,7,"None"
"116",18363,22390,21007,22697,25766,23656,21112,554.928571428572,19921.8571428571,0.22955621387892,9,"None"
"117",22390,21007,22697,25766,23656,21112,20067,-207.142857142856,23213.5714285714,0.76389059347054,-3,"None"
"118",21007,22697,25766,23656,21112,20067,18673,-604.142857142856,24270.5714285714,0.22955621387892,-9,"None"
"119",22697,25766,23656,21112,20067,18673,19650,-961.285714285714,25505.2857142857,0.0354981313206625,-15,"Negative"
"120",25766,23656,21112,20067,18673,19650,18549,-1146.5,25653.5714285714,0.00686379498544904,-19,"Negative"
"121",23656,21112,20067,18673,19650,18549,22322,-340.892857142855,21939.1428571428,0.22955621387892,-9,"None"
"122",21112,20067,18673,19650,18549,22322,24473,516.750000000001,18625.2857142857,0.76389059347054,3,"None"
"123",20067,18673,19650,18549,22322,24473,23633,891.785714285714,17485.2857142857,0.22955621387892,9,"None"
