"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"45",166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,869.302597402597,-4555.37619047618,8.0402594584727e-09,192,"Positive"
"46",116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,990.055844155844,-4956.80476190476,3.89952840921638e-09,196,"Positive"
"47",75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,1075.32337662338,-5000.31904761904,3.89952840921638e-09,196,"Positive"
"48",188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,1176.85844155844,-5069.58571428571,3.89952840921638e-09,196,"Positive"
"49",365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,1306.48831168831,-5251.41904761904,3.89952840921638e-09,196,"Positive"
"50",439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,1481.71688311688,-5660.93333333333,2.70125921482139e-09,198,"Positive"
"51",633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,1616.4987012987,-5629.43809523809,2.70125921482139e-09,198,"Positive"
"52",759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,1713.43376623377,-5188.39047619047,1.86455393527181e-09,200,"Positive"
"53",234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,1772.73506493506,-4333.22857142856,1.28244126833543e-09,202,"Positive"
"54",1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,1750.44935064935,-2676.51428571428,5.60935751266420e-09,194,"Positive"
"55",1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,1726.81298701299,-992.038095238088,2.31784131092112e-08,186,"Positive"
"56",2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,1661.58181818182,1103.31428571429,1.2607515202568e-07,176,"Positive"
"57",4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,1576.06493506493,3402.80952380954,6.2770539943568e-07,166,"Positive"
"58",6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,1541.40779220779,5281.5142857143,6.2770539943568e-07,166,"Positive"
"59",5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,1472.84935064935,7371.2761904762,6.2770539943568e-07,166,"Positive"
"60",8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,1293.91428571428,10441.2285714286,1.19469504175582e-05,146,"Positive"
"61",11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,1101.6974025974,13430.9476190476,0.000203830273131238,124,"Positive"
"62",10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,915.172727272727,16229.9571428572,0.00228925857789761,102,"Positive"
"63",12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,723.464935064935,19203.6,0.017053286657374,80,"None"
"64",17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,485.680519480519,22455.3238095238,0.138966893956733,50,"None"
"65",18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,372.709090909091,24277.9619047619,0.349219342794742,32,"None"
