"","x21","x20","x19","x18","x17","x16","x15","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"312",205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,-917.47374768089,218767.881292517,0.00339943459158102,-98,"Negative"
"313",208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,-1090.09480519481,220363.536054422,0.000515354543994406,-116,"Negative"
"314",211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,-1186.43172541744,221029.67755102,0.000160254800835494,-126,"Negative"
"315",212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,-1251.94582560297,221193.7,3.51909335945019e-05,-138,"Negative"
"316",215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,-1245.64016697588,220619.045238095,3.51909335945019e-05,-138,"Negative"
"317",217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,-1156.60584415584,219072.26292517,0.000160254800835494,-126,"Negative"
"318",218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,-957.872541743972,216549.50952381,0.00152084242070237,-106,"Negative"
"319",216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,-548.939239332095,212314.835034014,0.0496694253231422,-66,"None"
"320",217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,-137.605936920222,208257.862585034,0.349219342794742,-32,"None"
"321",217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,321.308348794064,203850.625170068,0.975910003234818,2,"None"
"322",215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,804.48302411874,199299.28877551,0.290560755378769,36,"None"
"323",216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,1264.69693877551,195181.425510204,0.0496694253231422,66,"None"
"324",213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,1703.2741187384,191266.494897959,0.00498016799310635,94,"Positive"
"325",203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,2078.98218923933,188170.331972789,0.000326348681185659,120,"Positive"
"326",203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,2363.93339517625,186860.246258504,2.70029982714568e-05,140,"Positive"
"327",201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,2516.59897959183,186638.992857143,5.12181550720252e-06,152,"Positive"
"328",200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,2567.96382189239,187536.204081633,2.86144113158582e-06,156,"Positive"
"329",199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,2522.05176252319,189429.15170068,5.12181550720252e-06,152,"Positive"
"330",198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,2374.08126159554,192280.126530612,2.06479894891453e-05,142,"Positive"
"331",198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,2112.51057513914,196179.427891157,0.000258359804977547,122,"Positive"
"332",191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,1740.65528756957,201019.063945578,0.00339943459158102,98,"Positive"
"333",199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,1152.78441558441,208220.772789116,0.043053172753608,68,"None"
"334",200510.928571429,199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,570.225602968456,214681.882312925,0.381187304987758,30,"None"
"335",199453.785714286,202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,-68.6408163265333,221411.246258504,0.879987855827713,-6,"None"
"336",202095.285714286,203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,-772.931076066795,228696.282653061,0.1941266858781,-44,"None"
"337",203940.142857143,209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,-1500.52142857144,235841.8207483,0.0200632459497888,-78,"None"
"338",209932.928571429,223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,-2249.88849721707,242876.773469388,0.000996671926281875,-110,"Negative"
"339",223906.642857143,226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,-2942.24944341374,248773.594217687,3.51909335945019e-05,-138,"Negative"
"340",226503.357142857,230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,168384.071428571,-3458.83654916512,251812.120408163,1.5763054522517e-06,-160,"Negative"
"341",230620.071428571,233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,168384.071428571,164147.142857143,-3921.24554730984,253929.27585034,9.04893580848998e-08,-178,"Negative"
"342",233500.857142857,235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,168384.071428571,164147.142857143,159449,-4304.87708719852,254760.12414966,8.0402594584727e-09,-192,"Negative"
"343",235412.5,235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,168384.071428571,164147.142857143,159449,158862,-4562.54795918368,254040.27244898,1.28244126833543e-09,-202,"Negative"
"344",235177.857142857,235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,168384.071428571,164147.142857143,159449,158862,154475.928571429,-4752.93803339518,252280.440816327,8.7892781808764e-10,-204,"Negative"
"345",235181.357142857,241555.5,234500,232289.428571429,229367.428571429,225202.428571429,220046.357142857,214023.857142857,206697.428571429,200123.5,194249.428571429,189748.5,184078.214285714,178570.357142857,173830.785714286,168384.071428571,164147.142857143,159449,158862,154475.928571429,150076.428571429,-4898.70408163266,249831.418367347,4.08452628359878e-10,-208,"Negative"
