"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"95",26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,-65.7318681318686,26891.1318681319,0.826665969670155,5,"None"
"96",23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,-277.516483516484,27934.2307692308,0.826665969670155,-5,"None"
"97",24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,-536.443956043957,29559.6153846154,0.154629751965815,-27,"None"
"98",26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,-642.019780219781,30235.0769230769,0.0487449207397066,-37,"None"
"99",29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,-751.654945054945,30626.6263736264,0.0214887391196774,-43,"None"
"100",34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,-559.927472527472,29017.0989010989,0.154629751965815,-27,"None"
"101",27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,-228.703296703297,25805.8461538462,0.584070366945506,-11,"None"
"102",24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,-119.294505494506,24757.3516483517,0.912814027184075,-3,"None"
"103",24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,-262.107692307692,25404.5934065934,0.381074481609294,-17,"None"
"104",24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,-270.769230769231,25348.4835164835,0.188887477539538,-25,"None"
"105",24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,-296.791208791209,25291.9340659341,0.125311111389424,-29,"None"
"106",27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,-258.114285714286,24868.8571428571,0.154629751965815,-27,"None"
"107",26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,-29.5120879120883,23036.7692307692,0.826665969670155,-5,"None"
"108",25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,127.14945054945,21634.4505494506,0.584070366945506,11,"None"
"109",18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,168.973626373626,21033.3406593407,0.381074481609294,17,"None"
"110",19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,-8.041758241759,22446.6703296703,0.912814027184075,-3,"None"
"111",22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,-216.841758241759,23969.956043956,0.188887477539538,-25,"None"
"112",20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,-273.879120879122,24162.1648351648,0.100518173207465,-31,"None"
"113",26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,-431.613186813187,25212.3846153846,0.011793457077065,-47,"None"
"114",24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,-262.057142857143,23619.5714285714,0.0798019286423907,-33,"None"
"115",24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,-79.5560439560441,22231.2417582418,0.584070366945506,-11,"None"
"116",18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,60.764835164835,21141.2637362637,0.826665969670155,5,"None"
"117",22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,-120.421978021978,22544.7362637363,0.381074481609294,-17,"None"
"118",21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,-215.936263736264,22907.1648351648,0.154629751965815,-27,"None"
"119",22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,-219.035164835165,22965.8351648352,0.154629751965815,-27,"None"
"120",25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,-215.971428571429,22739.1428571429,0.188887477539538,-25,"None"
"121",23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,-47.6527472527479,21182.6813186813,0.742556821926578,-7,"None"
"122",21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,176.373626373626,19627.054945055,0.381074481609294,17,"None"
"123",20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,187.723076923077,19545.3626373626,0.324423690521579,19,"None"
"124",18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,71.7252747252742,20261.7032967033,0.742556821926578,7,"None"
"125",19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,-88.7450549450554,21391.2307692308,0.584070366945506,-11,"None"
"126",18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,-191.10989010989,22068.5384615385,0.273561411724749,-21,"None"
"127",22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,-246.320879120879,22665.5494505494,0.154629751965815,-27,"None"
"128",24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,-130.604395604396,21855.6043956044,0.511220344688192,-13,"None"
"129",23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,101.973626373627,20139.3406593407,0.661415917007863,9,"None"
"130",18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,314.903296703296,18654.8681318681,0.125311111389424,29,"None"
