"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","x_22","x_23","x_24","x_25","x_26","x_27","x_28","x_29","x_30","x_31","x_32","x_33","x_34","x_35","x_36","x_37","x_38","x_39","x_40","x_41","x_42","x_43","x_44","x_45","x_46","x_47","x_48","x_49","x_50","A","B","mk_pvalue","S","Class"
"277",98025.7142857143,101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,2335.80323443663,113681.073236152,0.0000000000000000000302486467694751,1103,"Positive"
"278",101818.785714286,105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,2218.27424798491,118749.202390671,0.000000000000000000304347649494315,1073,"Positive"
"279",105615.214285714,110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,2096.8854364603,123812.665655977,0.00000000000000000386406789308731,1039,"Positive"
"280",110165.571428571,114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,1973.67753730063,128832.425655977,0.0000000000000000522185682714791,1003,"Positive"
"281",114966.285714286,120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,1850.40900703138,133744.138892128,0.000000000000000848529133762839,963,"Positive"
"282",120233.285714286,126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,1729.71451552049,138488.324139942,0.0000000000000140755592252678,921,"Positive"
"283",126037.5,131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,1597.37449837078,143283.523148688,0.000000000000234283900937008,877,"Positive"
"284",131608.285714286,133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,1490.66660950094,147464.050029155,0.0000000000023874295307323,839,"Positive"
"285",133843.785714286,139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,1394.12174584119,151303.996909621,0.000000000017517610379042,805,"Positive"
"286",139389.214285714,142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,1293.94688046647,155170.655976676,0.000000000165072636800127,765,"Positive"
"287",142018.285714286,146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,1207.26687017664,158635.117667638,0.000000000826225287659683,735,"Positive"
"288",146916.214285714,151358.285714286,156379.642857143,160091.214285714,162345.642857143,166194.071428571,168695.428571429,171314.071428571,167563.357142857,169548.928571429,168675,168961.714285714,168792.285714286,170527.642857143,172626,174916.5,177379.785714286,179970.714285714,182415.928571429,183873.857142857,187371.928571429,190175.357142857,198689.142857143,200959.785714286,205378,208775.785714286,211143.071428571,212706.428571429,215855.642857143,217003.357142857,218371.214285714,216681.785714286,217162.857142857,217465.571428571,215578.214285714,216080.071428571,213412.214285714,203243.571428571,203880.571428571,201582.714285714,200221.214285714,199513.142857143,198583.857142857,198290.071428571,191259.714285714,199011.285714286,200510.928571429,199453.785714286,202095.285714286,203940.142857143,1125.34405076316,161962.586705539,0.00000000317432523224475,709,"Positive"
