"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","x_22","x_23","x_24","x_25","x_26","x_27","x_28","x_29","x_30","A","B","mk_pvalue","S","Class"
"67",18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,9.68809788654082,29042.2344827586,0.520693269833088,-37,"None"
"68",22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,-91.0776418242489,30793.3701149425,0.108341426175579,-91,"None"
"69",26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,-160.459844271412,32014.2275862069,0.015250283689703,-137,"Negative"
"70",32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,-184.600444938821,32485.2735632184,0.00481910956115765,-159,"Negative"
"71",32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,-132.331479421579,31764.5379310345,0.0384936049718148,-117,"Negative"
"72",32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,-130.188876529477,31568.4942528736,0.041963944579416,-115,"Negative"
"73",32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,-145.210901001112,31535.0022988506,0.024578108913373,-127,"Negative"
"74",29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,-157.15595105673,31442.4505747126,0.0168163718749774,-135,"Negative"
"75",31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,-180.027141268076,31618.7540229885,0.00744722722906271,-151,"Negative"
"76",30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,-189.966629588432,31545.416091954,0.00600480708886842,-155,"Negative"
"77",31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,-182.698776418243,31320.9310344828,0.0124986297192766,-141,"Negative"
"78",35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,-174.703893214683,31051.9103448276,0.0203769316014971,-131,"Negative"
"79",34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,-143.007563959956,30200.4505747127,0.0352702777040042,-119,"Negative"
"80",29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,-157.472969966629,29906.3977011494,0.0322801899241516,-121,"Negative"
"81",27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,-198.862291434928,30219.2988505747,0.0168163718749774,-135,"Negative"
"82",26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,-225.073414905451,30482.0045977012,0.00538254760312636,-157,"Negative"
"83",28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,-267.996662958843,30929.9149425287,0.0014947363150922,-179,"Negative"
"84",25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,-253.89766407119,30645.9471264368,0.00343429212622282,-165,"Negative"
"85",30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,-275.327919911012,30955.016091954,0.00132096562716169,-181,"Negative"
"86",33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,-268.553726362625,30654.1494252873,0.0014947363150922,-179,"Negative"
"87",27932,26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,-275.903448275862,30279.1701149425,0.00116600673963702,-183,"Negative"
"88",26096,29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,-285.905228031146,30249.4643678161,0.000796196022753239,-189,"Negative"
"89",29828,25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,-315.025806451613,30531.2,0.000237614399449362,-207,"Negative"
"90",25917,28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,-305.240934371524,30141.8344827586,0.000313491870351214,-203,"Negative"
"91",28859,33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,-299.455617352614,30047.1287356322,0.000613718741722769,-193,"Negative"
"92",33570,32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,-286.926362625139,29679.491954023,0.000905244363690124,-187,"Negative"
"93",32327,30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,-256.005339265851,28784.9494252874,0.0014947363150922,-179,"Negative"
"94",30396,26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,-234.855617352614,28048.4620689655,0.00190704432582031,-175,"Negative"
"95",26501,23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,-230.561735261402,27591.1402298851,0.00190704432582031,-175,"Negative"
"96",23703,24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,-241.610678531702,27534.032183908,0.0014947363150922,-179,"Negative"
"97",24577,26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,-276.011123470523,27895.4390804598,0.000206495575911844,-209,"Negative"
"98",26438,29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,-277.748832035595,27847.2068965517,0.000206495575911844,-209,"Negative"
"99",29220,34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,-251.771301446051,27379.0551724138,0.00102799895958159,-185,"Negative"
"100",34926,27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,-211.152614015573,26563.232183908,0.00481910956115765,-159,"Negative"
"101",27350,24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,-158.670522803114,25218.4597701149,0.00744722722906271,-151,"Negative"
"102",24297,24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,-161.357730812013,24929.6114942529,0.00669115449396484,-153,"Negative"
"103",24085,24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,-154.443381535039,24729.3057471264,0.0091930445032644,-147,"Negative"
"104",24531,24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,-158.444716351502,24649.9931034483,0.00744722722906271,-151,"Negative"
"105",24559,27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,-145.844938820912,24358.6298850575,0.015250283689703,-137,"Negative"
"106",27412,26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,-107.569744160178,23793.3977011494,0.0803911475421804,-99,"None"
"107",26839,25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,-77.3477196885424,23116.5563218391,0.198948100775246,-73,"None"
"108",25136,18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,-69.2246941045602,22693.216091954,0.211711831941242,-71,"None"
"109",18867,19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,-70.6763070077862,22465.7494252873,0.186756137760826,-75,"None"
"110",19271,22948,20408,26818,24747,24159,18363,22390,21007,22697,25766,23656,21112,20067,18673,19650,18549,22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,-107.206451612903,23015.8666666667,0.0456954722167193,-113,"Negative"
