"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.00630133800509041,-0.0363077094579019,0.283073893152809,14,"None"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.00540114686150607,-0.0264056068784741,0.363722327380711,12,"None"
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.00450095571792172,-0.0165035042990463,0.457390543168855,10,"None"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.00360076457433738,-0.00660140171961852,0.563260084128636,8,"None"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.00270057343075303,0.00330070085980927,0.679708154348493,6,"None"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,0.028806116594699,-0.184839248149319,0.151250389799926,25,"None"
"19",0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,0.0504769123977034,-0.330555613932113,0.0454102977224784,41,"Positive"
"20",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,0.0850696958886078,-0.561766983954483,0.0113858820621035,58,"Positive"
"21",0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,0.11310917212814,-0.729989842629036,0.00384574844446598,72,"Positive"
"22",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,0.144494423489535,-0.908727247534548,0.00104573070086534,87,"Positive"
"23",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,3.13549421592915,2.94443897916644,3.49650756146648,4.34380542185368,0.182342624256652,-1.1182095787417,0.00029432638640967,101,"Positive"
