time;inc_acu;inc_dia;inc_mm7
11/23/20;6087608;16207;29758.28571
11/24/20;6118708;31100;30163.42857
11/25/20;6166606;47898;29564.28571
11/26/20;6204220;37614;31536.71429
11/27/20;6238350;34130;31779
11/28/20;6290272;51922;31169.42857
11/29/20;6314740;24468;33926.57143
11/30/20;6335878;21138;34762.71429
12/01/2020;6386787;50909;35467.14286
12/02/2020;6436650;49863;38297
12/03/2020;6487084;50434;38577.71429
12/04/2020;6533968;46884;40409.14286
12/05/2020;6577177;43209;42231.14286
12/06/2020;6603540;26363;40986.42857
12/07/2020;6623911;20371;41257.14286
12/08/2020;6674999;51088;41147.57143
12/09/2020;6728452;53453;41173.14286
12/10/2020;6781799;53347;41686
12/11/2020;6836227;54428;42102.14286
12/12/2020;6880127;43900;43179.85714
12/13/20;6901952;21825;43278.57143
12/14/20;6927145;25193;42630.28571
12/15/20;6970034;42889;43319.14286
12/16/20;7040608;70574;42147.85714
12/17/20;7110434;69826;44593.71429
12/18/20;7162978;52544;46947.85714
12/19/20;7213155;50177;46678.71429
12/20/20;7238600;25445;47575.42857
12/21/20;7263619;25019;48092.57143
12/22/20;7318821;55202;48067.71429
12/23/20;7365517;46696;49826.71429
12/24/20;7423945;58428;46415.57143
12/25/20;7448560;24615;44787.28571
12/26/20;7465806;17246;40797.42857
12/27/20;7484285;18479;36093
12/28/20;7504833;20548;35097.85714
12/29/20;7563551;58718;34459.14286
12/30/20;7619200;55649;34961.42857
12/31/20;7675973;56773;36240.42857
01/01/2021;7700578;24605;36004
01/02/2021;7716405;15827;36002.57143
01/03/2021;7733746;17341;35799.85714
01/04/2021;7753752;20006;35637.28571
01/05/2021;7810400;56648;35559.85714
01/06/2021;7873830;63430;35264.14286
01/07/2021;7961673;87843;36375.71429
01/08/2021;8013708;52035;40814.28571
01/09/2021;8075998;62290;44732.85714
01/10/2021;8105790;29792;51370.42857
01/11/2021;8131612;25822;53149.14286
01/12/2021;8195637;64025;53980
1/13/21;8256536;60899;55033.85714
1/14/21;8324294;67758;54672.28571
1/15/21;8393492;69198;51803
1/16/21;8455059;61567;54254.85714
1/17/21;8488099;33040;54151.57143
1/18/21;8511770;23671;54615.57143
1/19/21;8573864;62094;54308.28571
1/20/21;8638249;64385;54032.42857
1/21/21;8697368;59119;54530.42857
1/22/21;8753920;56552;53296.28571
1/23/21;8816254;62334;51489.71429
1/24/21;8844577;28323;51599.28571
1/25/21;8871393;26816;50925.42857
1/26/21;8933356;61963;51374.71429
1/27/21;8996876;63520;51356
1/28/21;9058687;61811;51232.42857
1/29/21;9118513;59826;51617
1/30/21;9176975;58462;52084.71429
1/31/21;9204731;27756;51531.57143
02/01/2021;9229322;24591;51450.57143
