time;inc_acu;inc_dia;inc_mm7
10/22/20;1453923;15704;15056.42857
10/23/20;1471000;17077;15363.28571
10/24/20;1487260;16260;15669
10/25/20;1503652;16392;15891.42857
10/26/20;1520800;17148;16118.28571
10/27/20;1537142;16342;16304.71429
10/28/20;1553028;15886;16338.14286
10/29/20;1570446;17418;16401.28571
10/30/20;1588433;17987;16646.14286
10/31/20;1606267;17834;16776.14286
11/01/2020;1624648;18381;17001
11/02/2020;1642665;18017;17285.14286
11/03/2020;1661096;18431;17409.28571
11/04/2020;1680579;19483;17707.71429
11/05/2020;1699695;19116;18221.57143
11/06/2020;1720063;20368;18464.14286
11/07/2020;1740172;20109;18804.28571
11/08/2020;1760420;20248;19129.28571
11/09/2020;1781997;21577;19396
11/10/2020;1802762;20765;19904.57143
11/11/2020;1822345;19583;20238
11/12/2020;1843678;21333;20252.28571
11/13/20;1865395;21717;20569
11/14/20;1887836;22441;20761.71429
11/15/20;1910149;22313;21094.85714
11/16/20;1932711;22562;21389.85714
11/17/20;1954912;22201;21530.57143
11/18/20;1975629;20717;21735.71429
11/19/20;1998966;23337;21897.71429
11/20/20;2023025;24059;22184
11/21/20;2047563;24538;22518.57143
11/22/20;2071858;24295;22818.14286
11/23/20;2096749;24891;23101.28571
11/24/20;2120836;24087;23434
11/25/20;2144229;23393;23703.42857
11/26/20;2169424;25195;24085.71429
11/27/20;2196691;27267;24351.14286
11/28/20;2223500;26809;24809.42857
11/29/20;2249890;26390;25133.85714
11/30/20;2275936;26046;25433.14286
12/01/2020;2302062;26126;25598.14286
12/02/2020;2327105;25043;25889.42857
12/03/2020;2354934;27829;26125.14286
12/04/2020;2382012;27078;26501.42857
12/05/2020;2410462;28450;26474.42857
12/06/2020;2439163;28701;26708.85714
12/07/2020;2466961;27798;27039
12/08/2020;2492713;25752;27289.28571
12/09/2020;2518551;25838;27235.85714
12/10/2020;2546113;27562;27349.42857
12/11/2020;2574319;28206;27311.28571
12/12/2020;2602048;27729;27472.42857
12/13/20;2629699;27651;27369.42857
12/14/20;2656601;26902;27219.42857
12/15/20;2682866;26265;27091.42857
12/16/20;2708940;26074;27164.71429
12/17/20;2736727;27787;27198.42857
12/18/20;2764843;28116;27230.57143
12/19/20;2792615;27772;27217.71429
12/20/20;2821125;28510;27223.85714
12/21/20;2850042;28917;27346.57143
12/22/20;2878382;28340;27634.42857
12/23/20;2905196;26814;27930.85714
12/24/20;2934695;29499;28036.57143
12/25/20;2963290;28595;28281.14286
12/26/20;2992123;28833;28349.57143
12/27/20;3019972;27849;28501.14286
12/28/20;3047335;27363;28406.71429
12/29/20;3073923;26588;28184.71429
12/30/20;3100018;26095;27934.42857
12/31/20;3127347;27329;27831.71429
01/01/2021;3153960;26613;27521.71429
01/02/2021;3179898;25938;27238.57143
01/03/2021;3203743;23845;26825
01/04/2021;3226758;23015;26253
01/05/2021;3250713;23955;25631.85714
01/06/2021;3274615;23902;25255.71429
01/07/2021;3297833;23218;24942.42857
01/08/2021;3321163;23330;24355.14286
01/09/2021;3344175;23012;23886.14286
01/10/2021;3366715;22540;23468.14286
01/11/2021;3389733;23018;23281.71429
01/12/2021;3412390;22657;23282.14286
1/13/21;3434934;22544;23096.71429
1/14/21;3459237;24303;22902.71429
1/15/21;3483531;24294;23057.71429
1/16/21;3507201;23670;23195.42857
1/17/21;3530379;23178;23289.42857
1/18/21;3552888;22509;23380.57143
1/19/21;3574330;21442;23307.85714
1/20/21;3595136;20806;23134.28571
1/21/21;3616680;21544;22886
1/22/21;3637862;21182;22491.85714
1/23/21;3658447;20585;22047.28571
1/24/21;3679247;20800;21606.57143
1/25/21;3698246;18999;21266.85714
1/26/21;3716228;17982;20765.42857
1/27/21;3733692;17464;20271.14286
1/28/21;3752548;18856;19793.71429
1/29/21;3771514;18966;19409.71429
1/30/21;3790265;18751;19093.14286
1/31/21;3808348;18083;18831.14286
02/01/2021;3825739;17391;18443
02/02/2021;3842145;16406;18213.28571
02/03/2021;3858367;16222;17988.14286
02/04/2021;3874830;16463;17810.71429
02/05/2021;3891274;16444;17468.85714
02/06/2021;3907653;16379;17108.57143
02/07/2021;3923461;15808;16769.71429
02/08/2021;3939162;15701;16444.71429
02/09/2021;3953970;14808;16203.28571
02/10/2021;3968228;14258;15975
02/11/2021;3983031;14803;15694.42857
02/12/2021;3997898;14867;15457.28571
2/13/21;4012538;14640;15232
2/14/21;4026506;13968;14983.57143
2/15/21;4040505;13999;14720.71429
2/16/21;4053535;13030;14477.57143
2/17/21;4066164;12629;14223.57143
2/18/21;4079407;13243;13990.85714
2/19/21;4092649;13242;13768
2/20/21;4105424;12775;13535.85714
2/21/21;4117992;12568;13269.42857
2/22/21;4130447;12455;13069.42857
2/23/21;4142126;11679;12848.85714
2/24/21;4153735;11609;12655.85714
2/25/21;4164802;11067;12510.14286
2/26/21;4175757;10955;12199.28571
2/27/21;4187166;11409;11872.57143
2/28/21;4198400;11234;11677.42857
03/01/2021;4209850;11450;11486.85714
03/02/2021;4220291;10441;11343.28571
03/03/2021;4230707;10416;11166.42857
03/04/2021;4241970;11263;10996
03/05/2021;4252876;10906;11024
03/06/2021;4263785;10909;11017
03/07/2021;4274263;10478;10945.57143
03/08/2021;4284408;10145;10837.57143
03/09/2021;4293750;9342;10651.14286
03/10/2021;4302726;8976;10494.14286
03/11/2021;4311893;9167;10288.42857
03/12/2021;4321588;9695;9989
3/13/21;4331396;9808;9816
3/14/21;4341381;9985;9658.714286
3/15/21;4350728;9347;9588.285714
3/16/21;4360033;9305;9474.285714
3/17/21;4368943;8910;9469
3/18/21;4378656;9713;9459.571429
3/19/21;4388268;9612;9537.571429
